,customerid,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,systemloanid_x,loannumber_x,approveddate_x,creationdate_x,loanamount_x,totaldue_x,termdays_x,referredby_x,good_bad_flag,systemloanid_y,loannumber_y,approveddate_y,creationdate_y,loanamount_y,totaldue_y,termdays_y,closeddate,referredby_y,firstduedate,firstrepaiddate
28,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301825983,4,45:33.0,45:20.0,20000,23800.0,30,56:28.0,,00:00.0,41:17.0
29,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301923022,5,13:44.0,13:30.0,20000,22250.0,15,37:20.0,,00:00.0,27:11.0
30,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301772620,2,33:30.0,33:20.0,10000,13000.0,30,13:57.0,,00:00.0,58:43.0
31,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301793923,3,36:13.0,36:06.0,20000,23800.0,30,17:37.0,,00:00.0,02:28.0
32,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301939306,6,49:08.0,49:01.0,20000,24500.0,30,16:12.0,,00:00.0,06:04.0
33,8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.974436099999999,4.8113433,Access Bank,,Permanent,,302003197,7,59:40.0,59:34.0,10000,13000.0,30,,Bad,301761797,1,48:38.0,48:26.0,10000,13000.0,30,22:42.0,,00:00.0,07:32.0
34,8a858f2f54e28d530154ecdd303004fa,1983-05-08 00:00:00.000000,Savings,3.4784832000000003,6.4420013,Diamond Bank,LAGOS,Permanent,Graduate,301989564,3,53:15.0,53:07.0,10000,13000.0,30,,Good,301625141,1,40:14.0,40:07.0,10000,13000.0,30,02:49.0,,00:00.0,41:40.0
35,8a858f2f54e28d530154ecdd303004fa,1983-05-08 00:00:00.000000,Savings,3.4784832000000003,6.4420013,Diamond Bank,LAGOS,Permanent,Graduate,301989564,3,53:15.0,53:07.0,10000,13000.0,30,,Good,301948636,2,23:58.0,22:49.0,10000,13000.0,30,46:40.0,,00:00.0,36:31.0
36,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301713653,1,07:18.0,07:09.0,10000,11500.0,15,19:03.0,,00:00.0,03:53.0
37,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301839039,5,12:06.0,11:59.0,15000,16600.0,15,30:34.0,,00:00.0,15:24.0
38,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301794361,4,35:08.0,34:49.0,20000,21900.0,15,41:06.0,,00:00.0,25:56.0
39,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301737998,2,59:44.0,59:33.0,10000,11500.0,15,47:33.0,,00:00.0,32:23.0
40,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301846154,6,31:26.0,31:19.0,25000,29000.0,30,40:49.0,,00:00.0,25:40.0
41,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301876516,7,46:26.0,46:06.0,30000,36800.0,60,55:41.0,,00:00.0,40:15.0
42,8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,,Self-Employed,Graduate,301966182,8,37:09.0,37:03.0,25000,27500.0,30,,Good,301757588,3,21:39.0,21:29.0,15000,16687.5,15,23:52.0,,00:00.0,08:42.0
43,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301832695,5,49:46.0,49:39.0,30000,34400.0,30,48:05.0,,00:00.0,32:56.0
44,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301773133,3,23:19.0,23:05.0,20000,23800.0,30,02:55.0,,00:00.0,47:38.0
45,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301791560,4,15:32.0,15:21.0,30000,36800.0,60,40:54.0,,00:00.0,00:00.0
46,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301614901,2,27:27.0,27:20.0,10000,13000.0,30,02:14.0,,00:00.0,07:23.0
47,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301612354,1,25:08.0,25:01.0,6000,6900.0,15,03:24.0,,00:00.0,45:02.0
48,8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380482999999995,Zenith Bank,,Permanent,Graduate,301995423,7,53:49.0,52:41.0,30000,39000.0,60,,Good,301880269,6,27:12.0,26:59.0,30000,36800.0,60,46:06.0,,00:00.0,47:29.0
49,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301861541,5,25:55.0,25:42.0,10000,11500.0,15,35:52.0,,00:00.0,48:43.0
50,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301901083,6,07:29.0,07:22.0,10000,11500.0,15,37:49.0,,00:00.0,07:34.0
51,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301775359,1,14:12.0,13:55.0,10000,11500.0,15,32:26.0,,00:00.0,17:16.0
52,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301807034,3,22:46.0,22:40.0,10000,11500.0,15,45:24.0,,00:00.0,30:14.0
53,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301787809,2,40:20.0,40:10.0,10000,13000.0,30,21:01.0,,00:00.0,05:51.0
54,8a8588f35438fe12015444567666018e,1984-09-18 00:00:00.000000,Other,11.1393496,10.2920413,EcoBank,,Permanent,,301966580,7,52:57.0,52:51.0,20000,22250.0,15,,Good,301811670,4,56:32.0,56:24.0,10000,11500.0,15,47:46.0,,00:00.0,32:36.0
55,8a858f275c451af5015c49a2c43b5fb2,1985-10-23 00:00:00.000000,Savings,3.2987678999999996,6.681729300000001,Sterling Bank,,Permanent,,301980592,2,54:48.0,54:40.0,10000,13000.0,30,8a858e725c3ae262015c45243caa4f4d,Good,301919680,1,04:37.0,04:26.0,10000,13000.0,30,13:40.0,8a858e725c3ae262015c45243caa4f4d,00:00.0,03:30.0
56,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301746291,2,21:21.0,45:50.0,10000,11500.0,15,46:17.0,,00:00.0,31:07.0
57,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301931180,10,15:55.0,14:48.0,40000,44000.0,30,59:39.0,,00:00.0,49:30.0
58,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301887011,9,04:14.0,04:07.0,40000,47600.0,60,32:46.0,,00:00.0,55:04.0
59,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301770275,5,01:56.0,01:46.0,30000,34400.0,30,45:52.0,,00:00.0,30:43.0
60,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301785289,6,59:04.0,58:47.0,30000,36800.0,60,09:40.0,,00:00.0,37:11.0
61,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301762646,4,48:17.0,48:08.0,20000,21900.0,15,14:41.0,,00:00.0,59:32.0
62,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301755666,3,52:56.0,52:46.0,20000,22250.0,15,32:28.0,,00:00.0,17:18.0
63,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301855798,8,20:45.0,20:37.0,40000,47600.0,60,46:29.0,,00:00.0,31:19.0
64,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301833930,7,59:38.0,58:31.0,30000,34400.0,30,17:47.0,,00:00.0,02:38.0
65,8a858e2155defefd0155e12953ee00a1,1989-06-09 00:00:00.000000,Other,8.008510000000001,4.54539,First Bank,,Permanent,Graduate,301967209,11,37:12.0,37:07.0,40000,44000.0,30,,Good,301656712,1,15:21.0,15:12.0,10000,11500.0,15,06:40.0,,00:00.0,51:36.0
66,8a858e4b5a7f868b015a80f3822d505b,1987-08-03 00:00:00.000000,Savings,3.3920644999999996,6.5083683,GT Bank,,Permanent,,301995976,6,21:47.0,21:39.0,20000,24000.0,30,,Good,301951012,5,31:05.0,29:57.0,20000,24500.0,30,09:00.0,,00:00.0,58:51.0
67,8a858e4b5a7f868b015a80f3822d505b,1987-08-03 00:00:00.000000,Savings,3.3920644999999996,6.5083683,GT Bank,,Permanent,,301995976,6,21:47.0,21:39.0,20000,24000.0,30,,Good,301827655,1,46:33.0,46:11.0,10000,13000.0,30,15:32.0,,00:00.0,00:22.0
68,8a858e4b5a7f868b015a80f3822d505b,1987-08-03 00:00:00.000000,Savings,3.3920644999999996,6.5083683,GT Bank,,Permanent,,301995976,6,21:47.0,21:39.0,20000,24000.0,30,,Good,301846234,2,19:33.0,19:26.0,10000,13000.0,30,29:39.0,,00:00.0,14:30.0
69,8a858e4b5a7f868b015a80f3822d505b,1987-08-03 00:00:00.000000,Savings,3.3920644999999996,6.5083683,GT Bank,,Permanent,,301995976,6,21:47.0,21:39.0,20000,24000.0,30,,Good,301918551,4,59:20.0,59:13.0,20000,24500.0,30,04:39.0,,00:00.0,54:29.0
70,8a858e4b5a7f868b015a80f3822d505b,1987-08-03 00:00:00.000000,Savings,3.3920644999999996,6.5083683,GT Bank,,Permanent,,301995976,6,21:47.0,21:39.0,20000,24000.0,30,,Good,301880463,3,53:09.0,53:03.0,10000,13000.0,30,22:13.0,,00:00.0,12:05.0
71,8a858f125c5f88b1015c603d2810428c,1984-04-19 00:00:00.000000,Savings,7.0481835,4.842689900000001,GT Bank,,Permanent,,301965899,2,21:58.0,21:53.0,10000,13000.0,30,,Good,301923441,1,41:18.0,40:59.0,10000,13000.0,30,50:35.0,,00:00.0,40:26.0
72,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301851906,3,51:18.0,51:11.0,10000,13000.0,30,22:39.0,,00:00.0,07:30.0
73,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301923973,5,00:35.0,00:21.0,20000,24000.0,30,15:34.0,,00:00.0,05:25.0
74,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301830029,2,18:46.0,18:40.0,10000,13000.0,30,22:16.0,,00:00.0,07:05.0
75,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301957837,6,58:47.0,58:40.0,20000,24500.0,30,35:13.0,,00:00.0,25:03.0
76,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301823794,1,38:13.0,37:55.0,10000,13000.0,30,58:26.0,,00:00.0,43:16.0
77,8a858ee75a6156c0015a635f394a5f79,1982-08-09 00:00:00.000000,Savings,3.9395519,7.4118193,Access Bank,,Permanent,,302001727,7,47:49.0,47:42.0,30000,34500.0,30,,Good,301885562,4,39:57.0,39:50.0,20000,23800.0,30,21:50.0,,00:00.0,11:42.0
78,8a858f445d41ebbe015d50c105334acc,1986-12-19 00:00:00.000000,Savings,3.2148502,6.538266999999999,GT Bank,,,,301995706,2,45:13.0,45:07.0,10000,11500.0,15,,Good,301982058,1,51:39.0,50:30.0,10000,13000.0,30,30:12.0,,00:00.0,20:02.0
79,8a858f285d3ca5c4015d3cbb1f94073a,1977-07-29 00:00:00.000000,Current,7.0358424,4.805014900000001,GT Bank,,Permanent,,302000799,2,19:09.0,19:02.0,10000,11500.0,15,,Good,301983505,1,48:22.0,47:08.0,10000,11500.0,15,45:23.0,,00:00.0,35:13.0
80,8a858f225bfdb280015c108bf6f53281,1987-10-07 00:00:00.000000,Savings,3.3343336000000003,6.5223702,Union Bank,,Permanent,,302002180,2,21:25.0,20:57.0,10000,13000.0,30,,Good,301951102,1,52:05.0,51:58.0,10000,13000.0,30,05:05.0,,00:00.0,54:56.0
81,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301919279,6,53:03.0,52:57.0,20000,24500.0,30,26:13.0,,00:00.0,16:03.0
82,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301835124,3,29:43.0,29:37.0,10000,13000.0,30,52:36.0,,00:00.0,37:27.0
83,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301855399,4,41:05.0,40:59.0,10000,13000.0,30,48:55.0,,00:00.0,33:45.0
84,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301814636,2,07:35.0,07:29.0,10000,13000.0,30,52:42.0,,00:00.0,37:30.0
85,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301930416,7,59:42.0,59:35.0,20000,24500.0,30,13:45.0,,00:00.0,03:36.0
86,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301793241,1,47:40.0,47:29.0,10000,13000.0,30,20:59.0,,00:00.0,05:49.0
87,8a858f7e564ad338015654d3a5c242a5,1988-05-19 00:00:00.000000,Other,8.6713276,9.0830135,GT Bank,,Permanent,,301969110,8,23:48.0,23:43.0,30000,34500.0,30,,Good,301889428,5,51:48.0,51:38.0,20000,24500.0,30,36:21.0,,00:00.0,26:12.0
88,8a858ea4582fcdc80158338316a258e3,1979-10-10 00:00:00.000000,Other,5.1889972,7.2826919000000006,FCMB,,Permanent,Graduate,301992692,10,30:55.0,30:47.0,30000,34500.0,30,,Good,301799200,4,45:07.0,45:01.0,10000,13000.0,30,14:16.0,,00:00.0,59:06.0
89,8a858ea4582fcdc80158338316a258e3,1979-10-10 00:00:00.000000,Other,5.1889972,7.2826919000000006,FCMB,,Permanent,Graduate,301992692,10,30:55.0,30:47.0,30000,34500.0,30,,Good,301828526,5,46:04.0,45:38.0,20000,23800.0,30,05:45.0,,00:00.0,50:33.0
